Opening Type,Result,White Elo,Black Elo,Move List,Variation
Danish Gambit,1-0,1384,1272,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'b8c6', 'f1c4', 'g8f6', 'f2f3', 'f8e7', 'g1e2', 'e8g8', 'c3d4', 'd7d5', 'c4b3', 'c6a5', 'b3c2', 'e7b4', 'b1c3', 'b4c3', 'b2c3', 'd5e4', 'f3e4', 'a5c4', 'c1g5', 'h7h6', 'g5h4', 'c8g4', 'e1g1', 'c4e3', 'd1d2', 'e3f1', 'a1f1', 'a7a5', 'h4f6', 'd8f6', 'f1f6', 'g7f6', 'h2h3', 'g4e2', 'd2e2', 'f6f5', 'e2h5', 'g8h7', 'e4f5', 'f8g8', 'f5f6', 'h7h8', 'h5h6']",['Others B1']
"Danish Gambit Accepted, Schlechter Defense",1-0,2048,1854,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'd7d5', 'c4d5', 'g8f6', 'b1c3', 'f8d6', 'g1f3', 'e8g8', 'h2h3', 'f6d5', 'c3d5', 'c7c6', 'd5e3', 'd6b4', 'e1e2', 'd8d1', 'h1d1', 'c8e6', 'a2a3', 'b4a5', 'f3g5', 'b8a6', 'f2f4', 'a5b6', 'f4f5', 'b6e3', 'e2e3', 'e6c4', 'd1d7', 'a6c5', 'd7c7', 'a8c8', 'c7c8', 'f8c8', 'a1c1', 'b7b5', 'b2d4', 'c5d3', 'c1c3', 'c8d8', 'd4a7', 'h7h6', 'g5f3', 'g8f8', 'a7b6', 'd8d7', 'f3d2', 'd3e5', 'b6d4', 'f7f6', 'd4e5', 'f6e5', 'd2c4', 'b5c4', 'c3c4', 'd7d6', 'a3a4', 'f8e7', 'a4a5', 'e7d7', 'a5a6', 'd7c7', 'a6a7', 'c7b7', 'c4a4', 'b7a8', 'a4a6', 'd6d7', 'a6c6', 'd7a7', 'c6c8', 'a8b7', 'c8g8', 'b7c6', 'g8e8', 'c6d6', 'e8d8', 'd6c5', 'g2g4', 'a7a3', 'd8d3', 'a3a2', 'h3h4', 'a2g2', 'e3f3', 'g2h2', 'd3c3']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit', 'Schlechter Defense']"
Danish Gambit,1-0,1769,1268,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd7d6', 'c3d4', 'b8d7', 'g1f3', 'g7g6', 'b1c3', 'f8g7', 'c1e3', 'b7b6', 'h2h3', 'c8b7', 'f1d3', 'g8f6', 'd1c2', 'e8g8', 'e1c1', 'c7c5', 'd4d5', 'd7e5', 'f3e5', 'd6e5', 'f2f4', 'e5f4', 'e3f4', 'd8e7', 'h1e1', 'f6h5', 'f4h2', 'g7c3', 'c2c3', 'a7a5', 'g2g4', 'h5f6', 'h2g3', 'e7e8', 'c3f6', 'e8a4', 'g3e5']",['Others B1']
"Danish Gambit Accepted, Classical Defense",1-0,1403,1329,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'g8f6', 'e4e5', 'f6e4', 'd1f3', 'f7f5', 'f3f5', 'd7d5', 'e5e6', 'e4f6', 'c4d5', 'd8d5', 'f5g5', 'd5e6', 'b2e5', 'f8e7', 'g1f3', 'b8c6', 'e1g1', 'c6e5', 'f3e5', 'h8g8', 'f1e1', 'h7h6', 'g5e3', 'c8d7', 'b1c3', 'e8c8', 'a1b1', 'f6d5', 'c3d5', 'e6d5', 'e5d7', 'd8d7', 'e3a7', 'b7b6', 'a7a6', 'd5b7', 'a6b5', 'e7c5', 'a2a3', 'g8f8', 'e1e2', 'd7f7', 'b1b2', 'c5f2', 'g1h1', 'f2c5', 'e2e8', 'f8e8', 'b5e8']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
Danish Gambit,0-1,1824,1755,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'b8c6', 'd1b3', 'd8e7', 'b1c3', 'g8f6', 'c3b5', 'e7e4', 'g1e2', 'f8b4', 'c1d2', 'b4d2', 'e1d2', 'e8g8', 'f2f3', 'e4e5', 'h1c1', 'a7a6', 'b5a3', 'd7d5', 'c4d3', 'c8f5', 'd3f5', 'e5f5', 'b3b7', 'c6e5', 'd2e1', 'e5d3', 'e1f1', 'd3c1', 'a1c1', 'f5g5', 'b2b3', 'd5d4', 'c1d1', 'g5h5', 'f1g1', 'c7c5', 'a3c4', 'a8d8', 'b7c6', 'f6d5', 'c6c5', 'f8e8', 'e2g3', 'h5g5', 'g3e4', 'g5f5', 'd1d4', 'e8e4', 'f3e4', 'f5g5', 'd4d5', 'g5c1', 'g1f2', 'c1f4']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,1/2-1/2,1674,1791,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'd7d6', 'd1b3', 'd8e7', 'b1c3', 'c7c6', 'c1g5', 'f7f6', 'g5h4', 'g8h6', 'e1c1', 'b8a6', 'f2f4', 'a6c5', 'b3c2', 'b7b5', 'c4b3', 'c8e6', 'b3e6', 'e7e6', 'e4e5', 'e8c8', 'g1f3', 'd6d5', 'e5f6', 'g7f6', 'h1e1', 'e6f7', 'b2b4', 'c5b7', 'f3d4', 'f8b4', 'd4c6', 'b4c3', 'c2c3', 'f7c7', 'c6a7', 'c8b8', 'a7c6', 'b8c8', 'e1e7', 'd8d7', 'd1d5', 'h8d8', 'c6a7', 'c8b8', 'c3c7', 'd7c7', 'e7c7', 'b8c7', 'a7b5', 'c7c8', 'd5d8', 'b7d8', 'h4f6', 'd8e6', 'f6e5', 'h6f5', 'g2g4', 'f5e3', 'g4g5', 'e3c4', 'h2h4', 'c8d7', 'h4h5', 'd7e7', 'h5h6', 'e7f7', 'a2a4', 'c4b6', 'a4a5', 'b6c8', 'a5a6', 'e6c5', 'a6a7', 'c5d3', 'c1d2', 'c8a7', 'b5a7', 'd3c5', 'd2e3', 'c5d7', 'e3f3', 'f7e6', 'e5f6', 'd7f6', 'g5f6', 'e6f6', 'f3g4', 'f6g6', 'a7b5', 'g6f6', 'b5d6', 'f6g6', 'd6f5', 'g6f6', 'g4h5', 'f6f5', 'h5h4', 'f5f4', 'h4h5', 'f4f5', 'h5h4', 'f5g6', 'h4g4', 'g6h6', 'g4h4', 'h6g6', 'h4g4', 'h7h5', 'g4h4', 'g6h6', 'h4h3', 'h6g5', 'h3g3', 'h5h4', 'g3h3', 'g5h5', 'h3g2', 'h5g4', 'g2h2', 'h4h3', 'h2g1', 'g4h4', 'g1h1', 'h4g3', 'h1g1', 'h3h2', 'g1h1', 'g3h3']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,1-0,1335,1387,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'd1f3', 'c3b2', 'c1b2', 'b8c6', 'b1c3', 'g8f6', 'c3b5', 'f8b4', 'b2c3', 'b4c3', 'b5c3', 'e8g8', 'f1d3', 'f8e8', 'g1e2', 'd7d5', 'e1g1', 'd5e4', 'c3e4', 'f6e4', 'd3e4', 'c6e5', 'f3h5', 'e5g6', 'e2g3', 'd8f6', 'f2f4', 'a8b8', 'f4f5', 'e8e4', 'g3e4', 'g6e7', 'e4f6', 'g8f8', 'f6h7', 'f8e8', 'a1e1', 'e8d8', 'h5f7', 'c7c6', 'e1e7', 'g7g6', 'h7f6', 'c8f5', 'f1d1', 'd8c8', 'e7e8']","['Danish Gambit Accepted', 'Others W1']"
"Danish Gambit Accepted, Schlechter Defense",0-1,1931,2135,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'd7d5', 'e4d5', 'g8f6', 'b1c3', 'a7a6', 'g1f3', 'f8d6', 'e1g1', 'e8g8', 'f1e1', 'c8g4', 'c3e4', 'f6e4', 'e1e4', 'g4f5', 'e4h4', 'd6e7', 'h4f4', 'f5g6', 'h2h4', 'e7d6', 'd1d4', 'f7f6', 'f4g4', 'g6f5', 'g4g5', 'd8d7', 'g5f5', 'd7f5', 'c4d3', 'f5f4', 'd4c3', 'b8d7', 'f3g5', 'f4h2', 'g1f1', 'd6e5', 'd3h7', 'g8h8', 'c3c2', 'f6g5', 'b2e5', 'd7e5', 'a1c1', 'h2h4', 'h7e4', 'e5g4', 'f2f3', 'g4e3']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit', 'Schlechter Defense']"
Danish Gambit,1-0,1973,1906,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'c7c5', 'f1c4', 'b8c6', 'g1f3', 'd7d6', 'c3d4', 'c8g4', 'e1g1', 'g4f3', 'd1f3', 'c6d4', 'f3f7']",['Others B1']
"Danish Gambit Accepted, Classical Defense",0-1,2018,2213,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'g8f6', 'd1b3', 'd8e7', 'b1d2', 'f6e4', 'g1e2', 'e4d2', 'e1d2', 'e7b4', 'b3b4', 'f8b4', 'd2c2', 'e8g8', 'a1d1', 'd7d6', 'e2f4', 'c8f5', 'c2b3', 'b4a5', 'f4d5', 'f5e6', 'd1d3', 'c7c6', 'd5e7', 'g8h8', 'c4e6', 'f7e6', 'd3e3', 'e6e5', 'e3f3', 'b8d7', 'e7f5', 'd7c5', 'b3c2', 'a5c7', 'g2g4', 'g7g6']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
Danish Gambit Accepted,0-1,1684,1686,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'b8c6', 'g1f3', 'd7d6', 'e1g1', 'c8e6', 'c4b5', 'a7a6', 'b5c6', 'b7c6', 'f1e1', 'g8f6', 'e4e5', 'f6d5', 'e5d6', 'c7d6', 'b1c3', 'd5f6', 'f3d4', 'f8e7', 'd4c6', 'd8b6', 'c6e7', 'b6b2', 'c3e4', 'f6e4', 'e1e4', 'e8e7', 'a1b1', 'b2a2', 'b1b7', 'e7f8', 'd1d6', 'f8e8', 'b7b8', 'a8b8', 'd6b8', 'e8e7', 'b8c7', 'e7f6', 'e4f4', 'f6g6', 'c7c1', 'h8c8', 'c1d1', 'a2c4', 'f4c4', 'c8c4', 'h2h4', 'h7h6', 'h4h5', 'g6h7', 'd1d3', 'h7g8', 'd3d8', 'g8h7', 'd8d3', 'h7g8', 'g2g4', 'c4c1', 'g1g2', 'e6g4', 'd3d8', 'g8h7', 'd8d3', 'h7g8', 'd3d2', 'c1c8', 'd2a5', 'c8f8', 'a5a6', 'g4h5', 'a6a3', 'h5g6', 'g2g3', 'g6f5', 'g3f4', 'f5e6', 'f4e5', 'f8e8', 'e5d6', 'e8d8', 'd6e7', 'd8d7', 'e7e8', 'h6h5', 'a3f8', 'g8h7', 'f8c5', 'g7g6', 'c5c2', 'h5h4', 'c2c3', 'h4h3', 'c3g3', 'h7g7', 'g3h2', 'd7d2', 'f2f4', 'd2h2', 'f4f5', 'e6f5', 'e8e7', 'h2e2', 'e7d6', 'h3h2', 'd6c5', 'h2h1q', 'c5d4', 'h1d1', 'd4c3', 'e2c2', 'c3b4', 'd1b1']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
"Danish Gambit Accepted, Classical Defense",1-0,1644,1753,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'g8f6', 'e4e5', 'f6e4', 'd1b3', 'd8e7', 'g1f3', 'c7c6', 'e1g1', 'd7d5', 'e5d6', 'e7d6', 'c4f7', 'e8e7', 'f1e1', 'b8d7', 'b1d2', 'd7f6', 'd2e4', 'f6e4', 'e1e4', 'e7d7', 'a1d1', 'd6d1', 'b3d1', 'd7c7', 'f7e6', 'c8e6', 'e4e6', 'f8c5', 'b2e5', 'c7b6', 'd1b3', 'b6a6', 'b3a4', 'a6b6', 'e5d4', 'c5d4', 'a4d4', 'b6b5', 'e6e5', 'b5a6', 'd4a4', 'a6b6', 'a4a5']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
Danish Gambit,1-0,1647,1623,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'b1c3', 'f8b4', 'f1c4', 'd7d6', 'g1f3', 'c8g4', 'e1g1', 'g8e7', 'c4f7', 'e8f7', 'f3g5', 'f7g8', 'd1g4', 'b4c3', 'b2c3', 'e7g6', 'g4e6', 'g8f8', 'e6f7']","['Danish Gambit Accepted', 'Take Back Gambit']"
Danish Gambit,0-1,1455,1467,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'b8c6', 'd1b3', 'c3c2', 'c4f7', 'e8e7', 'c1g5', 'g8f6', 'b1c3', 'c6d4', 'b3d5', 'd4e6', 'f7e6', 'd7e6', 'd5d8', 'e7d8', 'e4e5', 'h7h6', 'g5f6', 'g7f6', 'e5f6', 'e6e5', 'c3e4', 'c8f5', 'f2f3', 'f8b4', 'e4c3', 'b4c3', 'b2c3', 'd8e8', 'g1e2', 'a8d8', 'e2g3', 'f5d3', 'g3e4', 'd3e4', 'f3e4', 'e8f7', 'a1c1', 'd8d1', 'c1d1', 'c2d1q', 'e1d1', 'h8d8', 'd1c2', 'f7f6', 'h1f1', 'f6e6', 'g2g4', 'd8g8', 'h2h3', 'g8g5', 'f1b1', 'b7b6', 'b1b3', 'h6h5', 'g4h5', 'g5h5', 'c3c4', 'c7c5', 'b3g3', 'e6f6', 'c2d2', 'h5g5', 'g3f3', 'f6g6', 'h3h4', 'g5g4', 'f3h3', 'g4g2', 'd2e3', 'g2a2', 'h4h5', 'g6h6', 'e3f3', 'a2a3', 'f3g4', 'a3h3']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit Accepted,0-1,1267,1336,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'f8e7', 'g1f3', 'e7f6', 'e4e5', 'd8e7', 'e1g1', 'f6g5', 'f1e1', 'e7d8', 'f3g5', 'd8g5', 'e5e6', 'f7e6', 'h2h4', 'g5e7', 'd1h5', 'e7f7', 'h5f7', 'e8f7', 'b1c3', 'b8c6', 'c3e4', 'g8e7', 'e4g5', 'f7e8', 'b2g7', 'h8g8', 'g7h6', 'e7f5', 'c4d3', 'f5h6', 'd3h7', 'g8g5', 'h4g5', 'h6f7']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
Danish Gambit,0-1,1675,1610,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'b8c6', 'c3d4', 'd7d6', 'd4d5', 'c6e5', 'g1f3', 'c8g4', 'f1e2', 'g4f3', 'e2f3', 'd8f6', 'f3e2', 'g8h6', 'd1a4', 'e5d7', 'e2b5', 'f6e7', 'e1g1', 'a7a6', 'b5d3', 'e8c8', 'd3a6', 'b7a6', 'a4a6', 'c8b8', 'c1e3', 'd7c5', 'b2b4', 'c5a6', 'a2a3', 'h6g4', 'e3d4', 'e7e4', 'd4e3', 'g4e3', 'f2e3', 'e4e3', 'f1f2', 'g7g5', 'b1d2', 'f7f5', 'd2c4', 'e3d4', 'c4a5', 'd4a1', 'f2f1', 'a1a3', 'a5c6', 'b8c8', 'c6a7', 'c8b7', 'a7c6', 'b7c8', 'c6a7', 'c8d7', 'a7c6', 'a6b4', 'c6d4', 'a3e3', 'g1h1', 'e3d4', 'f1f5', 'd8e8', 'f5f1', 'd4e3', 'h2h3', 'b4d3', 'f1g1', 'e3g1', 'h1g1', 'e8e2', 'g1f1', 'e2a2', 'f1g1', 'f8g7', 'g1h2', 'g7e5', 'h2g1', 'h8f8']",['Others B1']
Danish Gambit Accepted,1-0,1693,1701,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'd7d6', 'g1f3', 'c8g4', 'e1g1', 'g4f3', 'd1f3', 'g8f6', 'f3b3', 'b7b6', 'c4f7', 'e8e7', 'b3e6']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
Danish Gambit,1-0,1448,1459,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'g8f6', 'e4e5', 'f6g8', 'b1c3', 'd8e7', 'g1f3', 'b8c6', 'e1g1', 'd7d5', 'e5d6', 'e7d6', 'f1e1', 'f8e7', 'c4f7', 'e8f7', 'd1b3', 'f7e8', 'f3g5', 'e8d7', 'e1d1', 'c6d4', 'b3a4', 'c7c6', 'd1d4', 'g8h6', 'd4d6', 'e7d6', 'c1e3', 'h6g4', 'a4g4', 'd7c7', 'g5e6', 'c7b8', 'g4g7', 'h8e8', 'e6c5', 'e8e7', 'g7d4', 'd6e5', 'd4d2', 'e7g7', 'e3f4', 'c8h3', 'f4e5', 'b8c8', 'e5g7']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,1/2-1/2,1131,1226,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'b8c6', 'b1c3', 'f8b4', 'c1d2', 'b4c3', 'd2c3', 'g8f6', 'g1f3', 'f6e4', 'c4d3', 'e4c3', 'b2c3', 'd7d6', 'f3d4', 'c6d4', 'c3d4', 'b7b6', 'd3b5', 'c8d7', 'd1e2', 'd8e7', 'e2e7', 'e8e7', 'b5c4', 'a8e8', 'e1g1', 'd7c6', 'f1e1', 'e7d8', 'c4f7', 'e8e1', 'a1e1', 'h8f8', 'f7e6', 'h7h6', 'd4d5', 'c6b5', 'h2h3', 'g7g5', 'e1b1', 'b5c4', 'b1b4', 'c4a2', 'b4a4', 'a2b3', 'a4a7', 'd8e7', 'a7c7', 'e7f6', 'c7c6', 'f6e5', 'c6b6', 'b3d5', 'e6d5', 'e5d5', 'b6b5', 'd5e6', 'b5b6', 'f8a8', 'g1h2', 'a8a2', 'h2g3', 'h6h5', 'f2f4', 'a2a3', 'g3h2', 'g5f4', 'b6b4', 'f4f3', 'b4e4', 'e6d5', 'e4h4', 'd5c6', 'h4h5', 'a3a2', 'h5h4', 'f3g2', 'h4c4', 'c6d5', 'c4c1', 'a2f2', 'c1d1', 'd5e6', 'd1e1', 'e6d7', 'h2g1', 'f2f1', 'e1f1', 'g2f1q', 'g1f1', 'd6d5', 'f1e2', 'd7e6', 'e2d3', 'e6e5', 'h3h4', 'd5d4', 'h4h5', 'e5f6', 'h5h6', 'f6g6', 'd3d4', 'g6h6']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
"Danish Gambit Accepted, Copenhagen Defense",1-0,1689,1768,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'f8b4', 'b1c3', 'g8f6', 'f2f3', 'd7d6', 'g1e2', 'e8g8', 'e1g1', 'b8c6', 'g1h1', 'c6e5', 'c4b3', 'c8e6', 'e2d4', 'e6b3', 'a2b3', 'c7c5', 'd4f5', 'c5c4', 'f3f4', 'e5d3', 'd1c2', 'd3b2', 'c2b2', 'c4b3', 'b2b3', 'b4c3', 'b3c3', 'f6e4', 'c3g7']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit', 'Copenhagen Defense']"
"Danish Gambit Accepted, Chigorin Defense",0-1,1458,1461,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'd8e7', 'd1f3', 'f7f6', 'g1e2', 'e7b4', 'f3c3', 'b4e7', 'e1g1', 'b8c6', 'f1e1', 'c6e5', 'c4b3', 'd7d6', 'f2f4', 'e5g4', 'e4e5', 'f6e5', 'f4e5', 'd6e5', 'e2f4', 'e7g5', 'c3c7', 'g8f6', 'c7f7', 'e8d8', 'f4e6', 'c8e6', 'e1d1', 'e6d7', 'b3e6', 'f8c5', 'g1f1', 'g4e3', 'f1e1', 'e3d1', 'b1a3', 'g5e3', 'e1f1', 'e3f2']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
Danish Gambit,0-1,1803,1786,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'b1c3', 'b8c6', 'f1c4', 'f8b4', 'd1h5', 'd8e7', 'c1g5', 'e7e4', 'c4e2', 'd7d6', 'g5d2', 'b4c3', 'd2c3', 'g8f6', 'h5g5', 'c6e5', 'c3e5', 'e4e5', 'g5g7', 'h8g8', 'g7h6', 'g8g2', 'g1f3', 'e5a5', 'e1f1', 'g2g6', 'h6e3', 'c8e6', 'f3d4', 'f6d5', 'e3e4', 'e8c8', 'd4e6', 'd8e8', 'e6d8', 'e8e4', 'd8f7', 'g6f6', 'f7g5', 'd5e3', 'f1g1', 'a5g5']","['Danish Gambit Accepted', 'Take Back Gambit']"
Danish Gambit,1-0,1890,1826,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd8e7', 'c3d4', 'e7e4', 'f1e2', 'b7b6', 'b1c3', 'e4e7', 'g1f3', 'c8a6', 'e1g1', 'a6e2', 'c3e2', 'b8c6', 'e2g3', 'e8c8', 'f1e1', 'e7d6', 'd4d5', 'c6a5', 'c1d2', 'a5b7', 'a2a4', 'g8f6', 'a4a5', 'b6b5', 'a5a6', 'b7c5', 'd2b4', 'd6b6', 'd1d4', 'c5a6', 'b4f8', 'b6d4', 'f3d4', 'h8f8', 'a1a6', 'c8b7', 'e1a1', 'c7c5', 'd4b5']",['Qe7 Defense']
Danish Gambit,0-1,1649,1560,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'd8h4', 'b1c3', 'f8b4', 'g1f3', 'b4c3', 'b2c3', 'h4e4', 'c4e2', 'f7f6', 'e1g1', 'd7d6', 'f1e1', 'g8e7', 'e2b5', 'e4c6', 'b5c6', 'b8c6', 'd1e2', 'e8g8', 'e2c4', 'd6d5', 'c4h4', 'e7f5', 'h4a4', 'c8d7', 'a4b3', 'c6e7', 'c1a3', 'f8f7', 'g2g4', 'f5h6', 'a3e7', 'h6g4', 'b3d5', 'd7c6', 'd5d3', 'c6f3', 'd3f3', 'h7h5', 'f3b7', 'a8e8', 'b7c7', 'g4e5', 'a1b1', 'f7e7', 'c7d6', 'e5f3', 'g1g2', 'f3e1', 'b1e1', 'e7e1', 'd6d5', 'e1e6', 'd5h5', 'e6e5', 'h5f3', 'e5g5', 'g2h3', 'e8e5', 'f3a8', 'g8f7', 'a8a7', 'f7g6', 'a7d4', 'g5h5', 'h3g2', 'e5g5', 'g2f1', 'h5h2', 'd4e4', 'f6f5']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,1-0,2078,2041,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd7d6', 'c3d4', 'g8f6', 'b1c3', 'f8e7', 'f1c4', 'e8g8', 'g1e2', 'c8g4', 'f2f3', 'g4h5', 'e1g1', 'a7a6', 'e2f4', 'b7b5', 'c4b3', 'g8h8', 'e4e5', 'd6e5', 'd4e5', 'f6d7', 'f4h5', 'd7e5', 'd1d8', 'e7d8', 'h5g3', 'b8d7', 'b3d5', 'c7c6', 'd5e4', 'd7f6', 'f3f4', 'e5g4', 'h2h3', 'd8b6', 'g1h1', 'g4f2', 'h1h2', 'b5b4', 'e4c6', 'a8c8', 'c3a4', 'c8c6', 'a4b6', 'f2h3', 'b6a4', 'h7h5', 'h2h3', 'f6g4', 'c1d2', 'c6c2', 'd2b4', 'f8e8', 'a1e1', 'e8e1', 'f1e1', 'g4f2', 'h3h4', 'f2d3', 'e1e8', 'h8h7', 'b4d6']",['Others B1']
Danish Gambit Accepted,1-0,1256,1159,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'c3b2', 'c1b2', 'b8c6', 'e4e5', 'c6e5', 'b2e5', 'd7d6', 'g1f3', 'd6e5', 'c4f7', 'e8f7', 'd1d8']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Accepted Triple Gambit', 'Take Back Triple Gambit']"
Danish Gambit,0-1,1653,1608,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd4c3', 'f1c4', 'b8c6', 'b1c3', 'd8e7', 'g1f3', 'd7d6', 'e1g1', 'g8f6', 'e4e5', 'd6e5', 'f3e5', 'c6e5', 'c1f4', 'e5c4', 'b2b3', 'c4d6', 'f1e1', 'c8e6', 'c3d5', 'f6d5', 'f4g3', 'e8c8', 'a1b1', 'd6f5', 'g3c7', 'd5c7', 'd1f3', 'e7b4', 'e1e4', 'b4d2', 'e4e2', 'd2d7', 'a2a3', 'f5d4', 'e2d2', 'd4f3']","['Danish Gambit Accepted', 'Offered Triple Gambit', 'Others Declined']"
Danish Gambit,0-1,1823,1817,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'd8e7', 'f1d3', 'd7d5', 'g1e2', 'd5e4', 'd3b5', 'c7c6', 'b5a4', 'd4d3', 'e2d4', 'g8f6', 'e1g1', 'c8e6', 'c1g5', 'b8d7', 'b1d2', 'e8c8', 'd2e4', 'h7h6', 'e4f6', 'h6g5', 'f6d7', 'e7d7', 'd1d3', 'd7d6', 'a1d1', 'd6h2']",['Qe7 Defense']
Danish Gambit,1-0,1774,1713,"['e2e4', 'e7e5', 'd2d4', 'e5d4', 'c2c3', 'b8c6', 'c3d4', 'd7d5', 'e4e5', 'c8e6', 'g1f3', 'g8e7', 'b1c3', 'd8d7', 'f1b5', 'a7a6', 'b5a4', 'b7b5', 'a4b3', 'g7g6', 'c1g5', 'e7f5', 'g5f6', 'h8g8', 'e1g1', 'f8e7', 'f6e7', 'd7e7', 'a1c1', 'a8d8', 'c3b5', 'e7d7', 'b5c3', 'h7h5', 'b3a4', 'g6g5', 'c3e2', 'g5g4', 'a4c6', 'g4f3', 'e2g3', 'f5g3', 'f2g3', 'f3g2', 'g1g2', 'h5h4', 'f1f3', 'h4h3', 'g2g1', 'e6g4', 'd1b3', 'g4f3', 'b3f3', 'e8e7', 'c6d7', 'd8d7', 'f3f6', 'e7e8', 'c1f1', 'g8f8', 'f1f4', 'c7c5', 'e5e6', 'd7e7', 'e6f7', 'f8f7', 'f6c6', 'e8f8', 'f4f7', 'e7f7', 'c6c5', 'f8g7', 'c5d5', 'f7e7', 'd5g5', 'g7f7', 'g5f5', 'f7e8', 'f5h3', 'e7b7', 'b2b3', 'b7d7', 'h3d7', 'e8d7', 'g3g4', 'd7d6', 'h2h4', 'd6e6', 'g4g5', 'a6a5', 'h4h5', 'e6f5', 'g5g6', 'f5f6', 'd4d5', 'f6e7', 'h5h6', 'a5a4', 'b3b4', 'a4a3', 'b4b5', 'e7f6', 'g6g7', 'f6f7', 'd5d6', 'f7g8', 'b5b6', 'g8h7', 'd6d7', 'h7h6', 'g7g8r', 'h6h7', 'g8g2', 'h7h8', 'd7d8r', 'h8h7', 'd8d3', 'h7h6', 'd3h3']",['Others B1']
